Name (or Code),RIC,Country,Market Capitalisation (million USD),adv(million USD),GICS Sector,GICS Industry,99/10/18-00/4/1,99/10/18-99/11/19,99/10/18-00/3/6,99/11/19-00/3/6,99/10/18-00/12/31,00/3/6-00/12/31,16/11/8-17/4/30
China Maple Leaf Educational Systems Ltd,1317.HK,Hong_Kong,1191.04,4.82895363,Consumer Discretionary,Diversified Consumer Services,,,,,,,37.5671941
GCL-Poly Energy Holdings Ltd,3800.HK,Hong_Kong,2246.43,10.81912653,Information Technology,Semiconductors & Semiconductor Equipment,,,,,,,-11.32075472
China High Speed Transmission Equipment Group Co Ltd,0658.HK,Hong_Kong,1589.50,6.967706097,Industrials,Electrical Equipment,,,,,,,-11.05882353
China Resources Gas Group Ltd,1193.HK,Hong_Kong,7506.02,13.36585112,Utilities,Gas Utilities,305.5555556,-16.66666667,518.0555556,641.6666667,74.99999999,-71.68539326,5.846774197
People's Insurance Group of China Co Ltd,1339.HK,Hong_Kong,17508.94,10.51764171,Financials,Insurance,,,,,,,4.220779225
Xinyi Glass Holdings Ltd,0868.HK,Hong_Kong,3461.85,11.51014752,Consumer Discretionary,Auto Components,,,,,,,14.04958678
Mega Medical Technology Ltd,0876.HK,Hong_Kong,159.82,0.038135784,Industrials,Electrical Equipment,91.58733834,-13.88888889,63.88888889,90.32258065,0.019860461,-38.9709326,-29.34782609
GOME Electrical Appliances Holding Ltd,0493.HK,Hong_Kong,2951.62,19.18266265,Consumer Discretionary,Specialty Retail,423.8095238,30.95238095,757.1428572,554.5454546,120.2380953,-74.30555556,6
China Resources Pharmaceutical Group Ltd,3320.HK,Hong_Kong,7398.38,3.869566557,Health Care,Pharmaceuticals,,,,,,,4.925544099
Hang Lung Group Ltd,0010.HK,Hong_Kong,5680.85,3.952300361,Real Estate,Real Estate Management & Development,-21.09621248,0.479041914,-23.56195584,-23.92638037,-7.391387868,21.15513048,14.46208113
China Evergrande Group,3333.HK,Hong_Kong,14715.24,134.5145246,Real Estate,Real Estate Management & Development,,,,,,,55.03731343
Nine Dragons Paper Holdings Ltd,2689.HK,Hong_Kong,5048.14,16.09576916,Materials,Paper & Forest Products,,,,,,,34.30596826
Haitong International Securities Group Ltd,0665.HK,Hong_Kong,2895.81,7.319680811,Financials,Capital Markets,26.9169884,3.65E-10,26.9169884,26.9169884,-2.953277659,-23.53527801,-16.60079051
China Resources Power Holdings Co Ltd,0836.HK,Hong_Kong,8671.14,12.21905244,Utilities,Independent Power and Renewable Electricity Producers,,,,,,,5.413533832
Value Partners Group Ltd,0806.HK,Hong_Kong,1714.15,4.196675887,Financials,Capital Markets,,,,,,,5.726872249
Wheelock and Co Ltd,0020.HK,Hong_Kong,15897.83,9.355271997,Real Estate,Real Estate Management & Development,-34.47597349,0.588235295,-38.6081193,-38.96713615,-23.13877769,25.1976995,39.35775145
Minth Group Ltd,0425.HK,Hong_Kong,4215.43,26.71456258,Consumer Discretionary,Auto Components,,,,,,,5.474452552
CGN Power Co Ltd,1816.HK,Hong_Kong,13726.50,11.86492814,Utilities,Independent Power and Renewable Electricity Producers,,,,,,,2.620087337
Genscript Biotech Corp,1548.HK,Hong_Kong,759.25,3.025890704,Health Care,Life Sciences Tools & Services,,,,,,,8.805031447
Kingdee International Software Group Co Ltd,0268.HK,Hong_Kong,1230.99,7.866451894,Information Technology,Software,,,,,,,3.459119498
Guangdong Investment Ltd,0270.HK,Hong_Kong,10120.52,13.54118748,Utilities,Water Utilities,-16.52892562,-7.438016528,-4.958677688,2.678571425,-25.61983471,-21.73913044,0.166389351
Guotai Junan International Holdings Ltd,1788.HK,Hong_Kong,2190.28,4.551747433,Financials,Capital Markets,,,,,,,-18.66666667
China National Building Material Co Ltd,3323.HK,Hong_Kong,3595.74,19.9543016,Materials,Construction Materials,,,,,,,35.24804178
Cathay Pacific Airways Ltd,0293.HK,Hong_Kong,5664.72,8.89687809,Industrials,Airlines,-24.0131579,0.328947369,-23.35526316,-23.60655738,-2.131172525,27.6915174,6.870229007
Evergrande Health Industry Group Ltd,0708.HK,Hong_Kong,1610.74,0.438686389,Consumer Discretionary,Media,,,,,,,-6.451612904
Li & Fung Ltd,0494.HK,Hong_Kong,3527.26,24.12514521,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",188.8,32,180,112.1212121,130.1508619,-17.80326362,-14.43569554
Major Holdings Ltd,1389.HK,Hong_Kong,367.05,2.266156882,Consumer Staples,Food & Staples Retailing,,,,,,,-37.03703704
Alibaba Pictures Group Ltd,1060.HK,Hong_Kong,4087.99,4.121411186,Consumer Discretionary,Media,3.44827586,6.896551726,60.91954023,50.5376344,-9.195402301,-43.57142857,-16
Biostime International Holdings Ltd,1112.HK,Hong_Kong,2052.47,5.168078622,Consumer Staples,Food Products,,,,,,,16.09195402
Lee & Man Paper Manufacturing Ltd,2314.HK,Hong_Kong,3548.57,7.775878074,Materials,Paper & Forest Products,,,,,,,4.810996561
Bank of East Asia Ltd,0023.HK,Hong_Kong,11274.99,5.757374953,Financials,Banks,15.57727867,32.02614379,14.24112516,-13.47083094,36.05722519,19.09653813,6.316091299
PAX Global Technology Ltd,0327.HK,Hong_Kong,689.59,2.236569844,Information Technology,"Electronic Equipment, Instruments & Components",,,,,,,1.048218032
DeTai New Energy Group Ltd,0559.HK,Hong_Kong,100.86,0.189593707,Industrials,Electrical Equipment,34.92063492,-4.76190476,47.61904762,55,-9.523809523,-38.70967742,-62.02531646
Kunlun Energy Co Ltd,0135.HK,Hong_Kong,7296.27,19.51969361,Energy,"Oil, Gas & Consumable Fuels",-30.39215686,-1.960784314,-17.64705882,-16,-54.41176471,-44.64285714,20.79037801
Sunac China Holdings Ltd,1918.HK,Hong_Kong,5065.96,33.61076219,Real Estate,Real Estate Management & Development,,,,,,,81.39534884
Chow Tai Fook Jewellery Group Ltd,1929.HK,Hong_Kong,10979.97,5.802421965,Consumer Discretionary,Specialty Retail,,,,,,,52.81074116
SJM Holdings Ltd,0880.HK,Hong_Kong,5491.49,14.19812251,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,,,,,40.59590316
BAIC Motor Corp Ltd,1958.HK,Hong_Kong,7311.38,14.46102056,Consumer Discretionary,Automobiles,,,,,,,-1.187335087
Xi An Haitian Antenna Holdings Co Ltd,8227.HK,Hong_Kong,338.45,0.311088984,Information Technology,Communications Equipment,,,,,,,1.09E-09
Universal Medical Financial & Technical Advisory Services Co Ltd,2666.HK,Hong_Kong,1466.85,3.686631,Health Care,Health Care Providers & Services,,,,,,,-4.727793698
Huaneng Renewables Corp Ltd,0958.HK,Hong_Kong,3402.01,7.320348995,Utilities,Independent Power and Renewable Electricity Producers,,,,,,,5.836575877
TravelSky Technology Ltd,0696.HK,Hong_Kong,7712.63,14.06361967,Information Technology,IT Services,,,,,,,21.44549764
China Green (Holdings) Ltd,0904.HK,Hong_Kong,32.13,3.22924138,Consumer Staples,Food Products,,,,,,,-88.38709677
Shanghai Industrial Holdings Ltd,0363.HK,Hong_Kong,3436.64,5.847939031,Industrials,Industrial Conglomerates,5,4.666666666,-1.333333333,-5.732484076,-3.17926229,-1.870873942,4.237288139
Kingboard Chemical Holdings Ltd,0148.HK,Hong_Kong,3744.91,10.69993562,Information Technology,"Electronic Equipment, Instruments & Components",9.117242947,17,11.13793263,-5.010313987,48.73949122,33.8332356,28.66972477
Haier Electronics Group Co Ltd,1169.HK,Hong_Kong,6484.34,12.90053221,Consumer Discretionary,Household Durables,10.56701031,3.125000001,33.95618557,29.89690722,-78.20554124,-83.73015873,39.13713405
Gold-Finance Holdings Ltd,1462.HK,Hong_Kong,668.30,1.196712952,Industrials,Construction & Engineering,,,,,,,-24.41860465
China Medical System Holdings Ltd,0867.HK,Hong_Kong,4297.95,8.255841365,Health Care,Pharmaceuticals,,,,,,,9.975688819
Sun Art Retail Group Ltd,6808.HK,Hong_Kong,9836.77,9.288521539,Consumer Staples,Food & Staples Retailing,,,,,,,49.62686567
Intime Retail Group Co Ltd,1833.HK,Hong_Kong,3451.57,5.228907635,Consumer Discretionary,Multiline Retail,,,,,,,57.6
