000120.KS, Updated at 2016-09-30
ABC, Updated at 2016-09-30
ABCO.O, Updated at 2016-09-30
ACANb.ST, Updated at 2016-09-30
ACET.O, Updated at 2016-09-30
ACG1V.HE, Updated at 2016-09-30
ACHC.O, Updated at 2016-09-30
ACRX.O, Updated at 2016-09-30
ACR_u.TO, Updated at 2016-09-30
ADANA.IS, Updated at 2016-09-30
ADBGR.IS, Updated at 2016-09-30
ADEL.IS, Updated at 2016-09-30
ADHI.JK, Updated at 2016-09-30
ADM, Updated at 2016-09-30
ADNAC.IS, Updated at 2016-09-30
ADOF.BO, Updated at 2016-09-30
ADP.O, Updated at 2016-09-30
ADPT.K, Updated at 2016-09-30
ADRO.O, Updated at 2016-09-30
AEGN.O, Updated at 2016-09-30
AEL, Updated at 2016-09-30
AEP, Updated at 2016-09-30
AFAM.O, Updated at 2016-09-30
AFE1V.HE, Updated at 2016-09-30
AFG, Updated at 2016-09-30
AFYON.IS, Updated at 2016-09-30
AGG.CN, Updated at 2016-09-30
AGS.CD, Updated at 2016-08-31
AGTH.AD, Updated at 2016-09-30
AHH, Updated at 2016-09-30
AIB.LM, Updated at 2016-09-30
AJME.NS, Updated at 2016-09-30
AJRD.K, Updated at 2016-09-30
AKAS.OL, Updated at 2016-09-30
AKPAZ.IS, Updated at 2016-09-30
AKSA.IS, Updated at 2016-09-30
AKSUE.IS, Updated at 2016-09-30
ALBRK.IS, Updated at 2016-09-30
ALCLA.PA, Updated at 2016-09-30
ALJ, Updated at 2016-09-30
ALL, Updated at 2016-09-30
ALL_pa, Updated at 2016-09-30
ALL_pc, Updated at 2016-09-30
ALL_pd, Updated at 2016-09-30
ALL_pe, Updated at 2016-09-30
ALL_pf, Updated at 2016-09-30
ALPHY.PA, Updated at 2016-09-30
AME, Updated at 2016-09-30
AMER.CA, Updated at 2016-09-30
AMI.TO, Updated at 2016-09-30
AMOT.O, Updated at 2016-09-30
AMRC.K, Updated at 2016-09-30
AMRT.JK, Updated at 2016-09-30
AMSC.O, Updated at 2016-09-30
AMSG.O, Updated at 2016-09-30
ANH, Updated at 2016-09-30
ANJT.JK, Updated at 2016-09-30
ANTM.K, Updated at 2016-09-30
ANTX.K, Updated at 2016-09-30
AP, Updated at 2016-09-30
APLP.O, Updated at 2016-09-30
APOTq.L, Updated at 2016-09-30
APT, Updated at 2016-09-30
APTA.NS, Updated at 2016-09-30
APTS.K, Updated at 2016-09-30
AP_u.TO, Updated at 2016-09-30
ARA.MX, Updated at 2016-09-30
ARC, Updated at 2016-09-30
ARC.V, Updated at 2016-08-31
ARH.V, Updated at 2016-08-31
ARKN.AD, Updated at 2016-09-30
ARMX.DU, Updated at 2016-09-30
AROC.K, Updated at 2016-09-30
AROG.NS, Updated at 2016-09-30
ARR, Updated at 2016-09-30
ARTNA.O, Updated at 2016-09-30
ASII.JK, Updated at 2016-09-30
ASLAN.IS, Updated at 2016-09-30
ASP.TO, Updated at 2016-09-30
ASRI.JK, Updated at 2016-09-30
ASSI.BO, Updated at 2016-09-30
ATG1V.HE, Updated at 2016-09-30
ATPET.IS, Updated at 2016-09-30
ATRAV.HE, Updated at 2016-09-30
AUDC.TA, Updated at 2016-09-30
AUMI.MI, Updated at 2016-09-30
AUTO.JK, Updated at 2016-09-30
AVA, Updated at 2016-09-30
AVD, Updated at 2016-09-30
AWK, Updated at 2016-09-30
AWR, Updated at 2016-09-30
AXGN.O, Updated at 2016-09-30
AXW.PA, Updated at 2016-09-30
AYGAZ.IS, Updated at 2016-09-30
BABP.JK, Updated at 2016-09-30
BAH, Updated at 2016-09-30
BALI.JK, Updated at 2016-09-30
BBGI.O, Updated at 2016-09-30
BBLD.JK, Updated at 2016-09-30
BBMD.JK, Updated at 2016-09-30
BBOX.O, Updated at 2016-10-01
BBRG.O, Updated at 2016-09-25
BC, Updated at 2016-10-01
BCIP.JK, Updated at 2016-09-30
BCK.V, Updated at 2016-08-31
BCOV.O, Updated at 2016-09-30
BDO.PS, Updated at 2016-09-30
BEAT.O, Updated at 2016-09-30
BEFB.BR, Updated at 2016-09-30
BFAM.K, Updated at 2016-09-30
BG, Updated at 2016-09-30
BGC, Updated at 2016-09-30
BGRS.NS, Updated at 2016-09-30
BGS.V, Updated at 2016-08-31
BHI.SN, Updated at 2016-09-30
BIOb, Updated at 2016-09-30
BKD, Updated at 2016-09-30
BKEP.O, Updated at 2016-09-30
BKFS.K, Updated at 2016-09-30
BKH, Updated at 2016-09-30
BKHU.K, Updated at 2016-09-30
BKI.TO, Updated at 2016-09-30
BLIS.NS, Updated at 2016-09-30
BLKB.O, Updated at 2016-09-30
BLUE.O, Updated at 2016-09-30
BME.MC, Updated at 2016-09-30
BML.V, Updated at 2016-08-31
BMRh.V, Updated at 2016-09-30
BMSA.DE, Updated at 2016-09-30
BMTR.JK, Updated at 2016-09-30
BNBR.JK, Updated at 2016-09-30
BNGA.JK, Updated at 2016-09-30
BNRS.BO, Updated at 2016-09-30
BOLUC.IS, Updated at 2016-09-30
BP, Updated at 2016-09-30
BP.L, Updated at 2016-09-30
BPEz.F, Updated at 2016-09-30
BRE2.ST, Updated at 2016-09-30
BREW.O, Updated at 2016-09-30
BRKR.O, Updated at 2016-09-30
BRYAT.IS, Updated at 2016-09-30
BSLG.DE, Updated at 2016-09-30
BSTA.MI, Updated at 2016-09-30
BTO.TO, Updated at 2016-09-30
BTR.V, Updated at 2016-08-31
BURVA.IS, Updated at 2016-09-30
BW, Updated at 2016-09-30
BWPT.JK, Updated at 2016-09-30
BXPL.OL, Updated at 2016-09-30
BYAN.JK, Updated at 2016-09-30
BYD, Updated at 2016-09-30
BYFC.O, Updated at 2016-09-30
BYL.TO, Updated at 2016-09-30
CAD.MI, Updated at 2016-06-30
CAKh.V, Updated at 2016-07-31
CAR.O, Updated at 2016-09-30
CARRA.MI, Updated at 2016-09-30
CBE.V, Updated at 2016-06-30
CBPO.O, Updated at 2016-09-30
CCD.V, Updated at 2016-08-31
CCF, Updated at 2016-08-31
CCO.TO, Updated at 2016-09-30
CCOLA.IS, Updated at 2016-09-30
CCRN.O, Updated at 2016-09-30
CDBG.DE, Updated at 2016-09-30
CDK.O, Updated at 2016-09-30
CDW.O, Updated at 2016-09-30
CEI.V, Updated at 2016-08-31
CELHA.IS, Updated at 2016-09-30
CEMTS.IS, Updated at 2016-09-30
CERN.O, Updated at 2016-10-01
CEVA.O, Updated at 2016-09-30
CEY.L, Updated at 2016-09-30
CF.TO, Updated at 2016-09-30
CHAL.SI, Updated at 2016-09-30
CHEF.O, Updated at 2016-09-23
CHP.PS, Updated at 2016-09-30
CHRH.CO, Updated at 2016-08-31
CHSP.K, Updated at 2016-09-30
CHUY.O, Updated at 2016-09-25
CIBP.PA, Updated at 2016-09-30
CIM, Updated at 2016-09-30
CIMSA.IS, Updated at 2016-09-30
CIRX.MI, Updated at 2016-09-30
CIX, Updated at 2016-09-30
CLCT.O, Updated at 2016-09-30
CLEP.WA, Updated at 2016-06-30
CLH, Updated at 2016-09-30
CLR, Updated at 2016-09-30
CLX, Updated at 2016-09-30
CMO.PA, Updated at 2016-09-30
CN.V, Updated at 2016-08-31
CNO, Updated at 2016-09-30
CNX, Updated at 2016-09-30
CNXC.K, Updated at 2016-09-30
CODI.K, Updated at 2016-09-30
COFI.MI, Updated at 2016-09-30
COH, Updated at 2016-10-01
COHR.O, Updated at 2016-10-01
COLOb.CO, Updated at 2016-09-30
CONIC.ST, Updated at 2016-09-30
COR.LM, Updated at 2016-09-30
CORR_pa.K, Updated at 2016-09-30
CPA.LM, Updated at 2016-09-30
CPAi.LM, Updated at 2016-09-30
CPIN.JK, Updated at 2016-09-30
CPIX.O, Updated at 2016-09-30
CPPL.K, Updated at 2016-09-30
CRCM.K, Updated at 2016-09-24
CREM3.SA, Updated at 2016-09-30
CRL, Updated at 2016-09-24
CRTS.PA, Updated at 2016-09-30
CRVL.O, Updated at 2016-09-30
CSBK.O, Updated at 2016-09-30
CSGS.O, Updated at 2016-09-30
CSLT.K, Updated at 2016-09-30
CTBN.JK, Updated at 2016-09-30
CTC_pb.SN, Updated at 2016-09-30
CTRA.JK, Updated at 2016-09-30
CTRE.O, Updated at 2016-09-30
CTT.LS, Updated at 2016-09-30
CUP.SN, Updated at 2016-09-30
CUV.V, Updated at 2016-08-31
CVT, Updated at 2016-09-30
CWBC.O, Updated at 2016-09-30
CXW, Updated at 2016-09-30
CYCB.KL, Updated at 2016-09-30
CYH, Updated at 2016-09-30
DAGI.IS, Updated at 2016-09-30
DATA.K, Updated at 2016-09-30
DBV.V, Updated at 2016-08-31
DCC.BK, Updated at 2016-09-30
DCCf.BK, Updated at 2016-09-30
DCCn.BK, Updated at 2016-09-30
DEI, Updated at 2016-09-30
DENCM.IS, Updated at 2016-09-30
DEQ.V, Updated at 2016-08-31
DERIM.IS, Updated at 2016-09-30
DFM.DU, Updated at 2016-09-30
DGC.TO, Updated at 2016-09-30
DICI.NS, Updated at 2016-09-30
DIG1V.HE, Updated at 2016-09-30
DINV.DU, Updated at 2016-09-30
DISH.NS, Updated at 2016-09-30
DJI.V, Updated at 2016-08-31
DLPH.K, Updated at 2016-09-30
DMRC.O, Updated at 2016-09-30
DN1.MC, Updated at 2016-09-30
DNB, Updated at 2016-09-30
DNET.JK, Updated at 2016-09-30
DNOW.K, Updated at 2016-09-30
DOC, Updated at 2016-09-30
DOGUB.IS, Updated at 2016-09-30
DPLO.K, Updated at 2016-09-30
DPM, Updated at 2016-09-30
DSNG.JK, Updated at 2016-09-30
DV, Updated at 2016-09-30
DVA, Updated at 2016-09-30
DVN, Updated at 2016-09-30
DWAR.NS, Updated at 2016-09-30
DWIT.BO, Updated at 2016-09-30
DYN, Updated at 2016-09-30
DYNC.K, Updated at 2016-09-30
DYOBY.IS, Updated at 2016-09-30
E, Updated at 2016-09-30
EA.O, Updated at 2016-09-30
EARN.K, Updated at 2016-09-30
ECEI.NS, Updated at 2016-06-30
ECL, Updated at 2016-09-30
EDGW.O, Updated at 2016-09-30
EE, Updated at 2016-09-30
EGCYH.IS, Updated at 2016-09-30
EKIZ.IS, Updated at 2016-09-30
EL, Updated at 2016-09-30
ELD.TO, Updated at 2016-09-30
ELM.SN, Updated at 2016-09-30
EMNIS.IS, Updated at 2016-09-30
EMSN.S, Updated at 2016-09-30
EMTK.JK, Updated at 2016-09-30
ENBL.K, Updated at 2016-09-30
ENG.V, Updated at 2016-08-31
ENLC.K, Updated at 2016-09-30
ENLK.K, Updated at 2016-09-30
ENSG.O, Updated at 2016-09-30
EOSI.PA, Updated at 2016-09-30
EPAY.O, Updated at 2016-09-30
EQC, Updated at 2016-09-30
EQIX.O, Updated at 2016-09-30
ERMA.ST, Updated at 2016-09-30
ERSU.IS, Updated at 2016-09-30
ES, Updated at 2016-09-30
ESIO.O, Updated at 2016-10-01
ESP.TO, Updated at 2016-09-30
ESRT.K, Updated at 2016-09-30
ESS.V, Updated at 2016-08-31
ETT1V.HE, Updated at 2016-09-30
EUHOL.IS, Updated at 2016-09-30
EUROC.ST, Updated at 2016-09-30
EXMR.BR, Updated at 2016-09-30
EXN.TO, Updated at 2016-09-30
EYC.V, Updated at 2016-08-31
EYES.O, Updated at 2016-09-30
FASW.JK, Updated at 2016-09-30
FCV.V, Updated at 2016-08-31
FEOIb.ST, Updated at 2016-09-30
FGH.V, Updated at 2016-06-30
FIN.LM, Updated at 2016-09-30
FISO.NS, Updated at 2016-09-30
FIT, Updated at 2016-10-01
FLKS.O, Updated at 2016-09-30
FLOW.K, Updated at 2016-10-01
FLT, Updated at 2016-09-30
FLTX.NS, Updated at 2016-09-30
FLUI.MC, Updated at 2016-09-30
FMI.O, Updated at 2016-09-30
FOE, Updated at 2016-09-30
FOX.O, Updated at 2016-09-30
FOXA.O, Updated at 2016-09-30
FOXF.O, Updated at 2016-09-30
FPI, Updated at 2016-09-30
FREG.DE, Updated at 2016-09-30
FRP.O, Updated at 2016-09-30
FRSH.O, Updated at 2016-09-26
FRT, Updated at 2016-09-30
FSLT.SI, Updated at 2016-09-30
FTAI.K, Updated at 2016-09-30
FTR.O, Updated at 2016-09-30
FUN, Updated at 2016-09-25
FUNCOM.OL, Updated at 2016-09-30
GAMIG.OL, Updated at 2016-09-30
GDDY.K, Updated at 2016-09-30
GDTB.NS, Updated at 2016-09-30
GEI.TO, Updated at 2016-09-30
GEMP.O, Updated at 2016-09-30
GEN.CO, Updated at 2016-09-30
GFREGIOO.MX, Updated at 2016-09-30
GGG.V, Updated at 2016-08-31
GGL.V, Updated at 2016-08-31
GHC, Updated at 2016-09-30
GHDX.O, Updated at 2016-09-30
GHM, Updated at 2016-09-30
GIAA.JK, Updated at 2016-09-30
GJIN.BO, Updated at 2016-09-30
GLDD.O, Updated at 2016-09-30
GMGG.SI, Updated at 2016-09-30
GMP.TO, Updated at 2016-09-30
GN.CO, Updated at 2016-09-30
GNP.MX, Updated at 2016-09-30
GORO.K, Updated at 2016-09-30
GPOR.O, Updated at 2016-09-30
GPT, Updated at 2016-09-30
GRT_u.TO, Updated at 2016-09-30
HABT.O, Updated at 2016-09-27
HAGA.IC, Updated at 2016-08-31
HBM.TO, Updated at 2016-09-30
HBP.TO, Updated at 2016-07-31
HCG.TO, Updated at 2016-09-30
HCN, Updated at 2016-09-30
HDNG.O, Updated at 2016-09-30
HEKTS.IS, Updated at 2016-09-30
HELG.OL, Updated at 2016-09-30
HEP, Updated at 2016-09-30
HERO.JK, Updated at 2016-09-30
HIVE.K, Updated at 2016-09-30
HONBS.HE, Updated at 2016-09-30
HOS, Updated at 2016-09-30
HR, Updated at 2016-09-30
HRDC.BO, Updated at 2016-09-30
HSIC.O, Updated at 2016-09-24
HST, Updated at 2016-09-30
HSTM.O, Updated at 2016-09-30
HUBS.K, Updated at 2016-09-30
HUDN.AS, Updated at 2016-09-30
HURN.O, Updated at 2016-09-30
HW, Updated at 2016-09-30
HWKN.O, Updated at 2016-10-02
HYH, Updated at 2016-09-30
HZNDR.IS, Updated at 2016-09-30
IAG.TO, Updated at 2016-09-30
ICAD.O, Updated at 2016-09-30
ICBCT.IS, Updated at 2016-09-30
ICBP.JK, Updated at 2016-09-30
ICFI.O, Updated at 2016-09-30
ICL.V, Updated at 2016-09-30
IDPR.JK, Updated at 2016-09-30
IFAR.SI, Updated at 2016-09-30
IFC.TO, Updated at 2016-09-30
IHGZT.IS, Updated at 2016-09-30
IL, Updated at 2016-09-30
ILMN.O, Updated at 2016-10-02
IMH, Updated at 2016-09-30
IMI.O, Updated at 2016-09-30
IMMU.O, Updated at 2016-09-30
INCU.OL, Updated at 2016-09-30
INDV.L, Updated at 2016-09-30
INN, Updated at 2016-09-30
INOV.O, Updated at 2016-09-30
INTM.BO, Updated at 2016-09-30
INXN.K, Updated at 2016-09-30
IOSP.O, Updated at 2016-09-30
IPI, Updated at 2016-09-30
IRG.O, Updated at 2016-09-26
ISA.CN, Updated at 2016-09-30
ISHG.DE, Updated at 2016-09-30
ISS.CO, Updated at 2016-09-30
ITRI.O, Updated at 2016-09-30
JAAO.NS, Updated at 2016-09-30
JCOM.O, Updated at 2016-09-30
JCTCF.O, Updated at 2016-08-31
JENA.BO, Updated at 2016-09-30
JLL, Updated at 2016-09-30
JLRh.V, Updated at 2016-08-31
JONE.K, Updated at 2016-09-30
K, Updated at 2016-10-01
K.TO, Updated at 2016-09-30
KADVI.RTS, Updated at 2016-09-30
KAEF.JK, Updated at 2016-09-30
KAMBI.ST, Updated at 2016-09-30
KAPLM.IS, Updated at 2016-09-30
KAREL.IS, Updated at 2016-09-30
KASNc.AS, Updated at 2016-09-30
KATE.K, Updated at 2016-10-01
KBAL.O, Updated at 2016-09-30
KBB.CD, Updated at 2016-08-31
KCFH.SI, Updated at 2016-09-30
KE.O, Updated at 2016-09-30
KEK.V, Updated at 2016-08-31
KEYW.O, Updated at 2016-09-30
KMP_u.TO, Updated at 2016-09-30
KPHOL.IS, Updated at 2016-09-30
KREN.JK, Updated at 2016-09-30
KRU.WA, Updated at 2016-09-30
KTOS.O, Updated at 2016-09-25
KTWO.O, Updated at 2016-09-30
KUYAS.IS, Updated at 2016-09-30
KVHI.O, Updated at 2016-09-30
KXS.TO, Updated at 2016-09-30
LDL, Updated at 2016-09-30
LGCY.O, Updated at 2016-09-30
LGCYO.O, Updated at 2016-09-30
LHAG.DE, Updated at 2016-09-30
LINK.IS, Updated at 2016-09-30
LINK.JK, Updated at 2016-09-30
LME.V, Updated at 2016-09-30
LN, Updated at 2016-09-30
LOIM.PA, Updated at 2016-09-30
LOPE.O, Updated at 2016-09-30
LOXO.O, Updated at 2016-09-30
LPCK.JK, Updated at 2016-09-30
LPLA.O, Updated at 2016-09-30
LPPF.JK, Updated at 2016-09-30
LPSB.MM, Updated at 2016-09-30
LQ, Updated at 2016-09-30
LTC, Updated at 2016-09-30
LTEN.PA, Updated at 2016-09-30
LUK, Updated at 2016-09-30
LUPE.ST, Updated at 2016-09-30
MAERSKa.CO, Updated at 2016-09-30
MAERSKb.CO, Updated at 2016-09-30
MARAS.HE, Updated at 2016-09-30
MATR.O, Updated at 2016-09-30
MAUP.PA, Updated at 2016-09-30
MAYA.JK, Updated at 2016-09-30
MCHX.O, Updated at 2016-09-30
MDA.TO, Updated at 2016-09-30
MEGH.NS, Updated at 2016-09-30
MEGH.SI, Updated at 2016-09-30
MEMP.O, Updated at 2016-09-30
MENO.NS, Updated at 2016-09-30
MEPET.IS, Updated at 2016-09-30
MEPI.BO, Updated at 2016-09-30
MERK.JK, Updated at 2016-09-30
MET, Updated at 2016-09-30
METB34.SA, Updated at 2016-09-30
MFI.TO, Updated at 2016-09-30
MGNX.O, Updated at 2016-09-30
MGNZ.MM, Updated at 2016-09-30
MGPI.O, Updated at 2016-09-30
MHEB.KL, Updated at 2016-09-30
MHG, Updated at 2016-09-30
MHG.OL, Updated at 2016-09-30
MHSC.NS, Updated at 2016-09-30
MISC.KL, Updated at 2016-09-30
MKL, Updated at 2016-09-30
MLAB.O, Updated at 2016-09-30
MLC.L, Updated at 2016-09-30
MLM, Updated at 2016-09-30
MMP, Updated at 2016-09-30
MMYT.O, Updated at 2016-09-30
MND.TO, Updated at 2016-09-30
MOD, Updated at 2016-09-30
MOFS.NS, Updated at 2016-09-30
MPPA.JK, Updated at 2016-09-30
MRDIN.IS, Updated at 2016-09-30
MRDS.QA, Updated at 2016-09-30
MRG_u.TO, Updated at 2016-09-30
MSBF.O, Updated at 2016-09-30
MSMTz.F, Updated at 2016-09-30
MTCH.O, Updated at 2016-09-30
MTDR.K, Updated at 2016-09-30
MTGE.O, Updated at 2016-09-30
MTLS.SI, Updated at 2016-09-30
MTW, Updated at 2016-09-30
MVIS.O, Updated at 2016-09-30
MWI_u.V, Updated at 2016-09-30
MYGN.O, Updated at 2016-09-30
MYRG.O, Updated at 2016-09-30
NATL.O, Updated at 2016-09-30
NATR.MC, Updated at 2016-09-30
NBIX.O, Updated at 2016-09-30
NBL, Updated at 2016-09-30
NBU.V, Updated at 2016-08-31
NCOM.O, Updated at 2016-09-30
NCTH.AD, Updated at 2016-09-30
NETIb.ST, Updated at 2016-09-30
NEWS.O, Updated at 2016-09-30
NGHC.O, Updated at 2016-09-30
NGHCN.O, Updated at 2016-09-30
NGHCO.O, Updated at 2016-09-30
NGIN.DU, Updated at 2016-09-30
NHTC.O, Updated at 2016-09-30
NICK.O, Updated at 2016-09-30
NICO.ST, Updated at 2016-09-30
NKSH.MM, Updated at 2016-09-30
NLNK.O, Updated at 2016-09-30
NMD.V, Updated at 2016-08-31
NMX.TO, Updated at 2016-06-30
NOBU.JK, Updated at 2016-09-30
NOEJ.DE, Updated at 2016-09-30
NORVE.HE, Updated at 2016-09-30
NOVT.O, Updated at 2016-09-30
NRE1V.HE, Updated at 2016-09-30
NRIM.O, Updated at 2016-09-30
NRZ, Updated at 2016-09-30
NS, Updated at 2016-09-30
NSM, Updated at 2016-09-30
NSTG.O, Updated at 2016-09-30
NSYS.O, Updated at 2016-09-30
NTH.MC, Updated at 2016-09-30
NVCR.O, Updated at 2016-09-30
NVGP.SI, Updated at 2016-07-31
NVMI.TA, Updated at 2016-09-30
NWFL.O, Updated at 2016-09-30
NWN, Updated at 2016-09-30
NYHR.IC, Updated at 2016-09-30
OB, Updated at 2016-09-30
OCLR.O, Updated at 2016-10-01
OCRX.O, Updated at 2016-09-30
OCY.OL, Updated at 2016-09-30
ODP.O, Updated at 2016-09-24
